periode,kategori,total,qty
2023-12,STOP KONTAK,1577239,91
2023-12,SUMPIT,267267,32
2023-12,TAKARAN,834695.5,63
2023-12,TALAM,501637,29
2023-12,TAMPA,578231,67
2023-12,TAPLAK,205124,6
2023-12,TAS BEKAL,549480,25
2023-12,TATAKAN GELAS,184611,21
2023-12,TEKO,5371993,91
2023-12,TELENAN,1935846,60
2023-12,TEMPAT BUMBU,1721948,54
2023-12,TEMPAT MINYAK,955058,15
2023-12,TEMPAT ROTI,318684,4
2023-12,TEMPAT SABUN,489830,26
2023-12,TEMPAT SAMBAL,565858,75
2023-12,TEMPAT SENDOK,1834745,84
2023-12,TEMPAT TELUR,167010,10
2023-12,TEMPAT TISSUE,912821,28
2023-12,TEMPAT TUSUK GIGI,35346,4
2023-12,TERMOS,18638977,190
2023-12,THINWAL,1604138,50
2023-12,TIMBAH,3416675,289
2023-12,TIMBANGAN,5629043,41
2023-12,TISSUE,890627,99
2023-12,TONG,6947858,162
2023-12,TOPLES,16983685,876
2023-12,TUDUNG SAJI,1515313,45
2023-12,TUSUK GIGI,374974,86
2023-12,TUSUK SATE,76610,5
2023-12,TUTUP GELAS,225157,32
2023-12,TUTUP WAJAN,384570,13
2023-12,UMUM,53392131.15,1174
2023-12,WAJAN,948502,14
2023-11,ACC / PITA / KARET,3475720,523
2023-11,AMPIA,568850,2
2023-11,ASBAK,809399,84
2023-11,AYAKAN,149294,10
2023-11,BABY BATHUB,961500,25
2023-11,BAKUL,1372665,122
2023-11,BANGKU / KURSI,20230317,308
2023-11,BASKOM,12277666.52,1507
2023-11,BATRE,1907439,177
2023-11,BINGKAI,225067,8
2023-11,BLENDER,15449658,78
2023-11,BOTOL,14146744,781
2023-11,BUNGA PLASTIK,248200,9
2023-11,BURNER,1547840,41
2023-11,CAKE PAN,969350,8
2023-11,CANGKIR,4231680,656
2023-11,CELEMEK,226800,7
2023-11,CELENGAN,577343,43
2023-11,CENTONG NASI,316783,27
2023-11,CERET,2875089,40
2023-11,CERMIN,1927153,84
2023-11,CETAKAN,3297542,214
2023-11,CHOPER,3414297,17
2023-11,CLING WRAP,339000,8
2023-11,COBEK,1014450,23
2023-11,CONTAINER,11499398.05,103
2023-11,CORONG,140256,31
2023-11,CUP,187500,15
2023-11,DISPENCER,10289130,41
2023-11,EMBER,2015016,62
2023-11,ESKAN,1235805,41
2023-11,GALON,502200,8
2023-11,GANTUNGAN HOOK,447025,35
2023-11,GARPU,1378472,91
2023-11,GAS,1080625,48
2023-11,GAYUNG,2541007,247
2023-11,GELAS,15050439.36,1504
2023-11,GEMBOK,979399.6,57
2023-11,GILINGAN,42920,2
2023-11,GUNTING,1368477,161
2023-11,HAIR DRYER,88550,1
2023-11,HANGER,4346155,198
2023-11,JAM DINDING,2719658,56
2023-11,JEPITAN,1265066,99
2023-11,KAIN LAP,1689829,200
2023-11,KALO,2536314.08,596
2023-11,KAPSTOCK / GANTUNGAN BAJU,1513900,69
2023-11,KEMOCENG,688495,26
2023-11,KERANJANG,8862275,506
2023-11,KERTAS NASI,115000,4
2023-11,KESET,5047298,202
2023-11,KIPAS,18258091,109
2023-11,KNOP KOMPOR,114260,9
2023-11,KOCOKAN,393105,26
2023-11,KOMPOR GAS,18048094,59
2023-11,KOTAK,11204382,593
2023-11,KOTAK GABUS,32928,48
2023-11,KUALI,8661986,111
2023-11,KUAS,511557,76
2023-11,KUKUSAN,2849493,33
2023-11,LAMPU,11140835.5,289
2023-11,LEMARI,12896996.5,26
2023-11,LIGHTER,211590,35
2023-11,LOYANG,2065716,69
2023-11,LUMPANG,1022230,11
2023-11,MANGKOK,10236114.11,1111
2023-11,MANTEL,1260665,28
2023-11,MEJA,4321841,34
2023-11,MIKA,881372,64
2023-11,MINUMAN,3470442,639
2023-11,MIXER,3498366,10
2023-11,MUG,7704730,344
2023-11,NAMPAN,2606843,136
2023-11,OBENG,131664,19
2023-11,OVEN,2519200,3
2023-11,PAN GORENG,8958045,60
2023-11,PANCI,11433189,131
2023-11,PANGGANGAN,1264810,34
2023-11,PAPERBAG,309960,34
2023-11,PARUTAN,1054371,88
2023-11,PAYUNG,1100717,26
2023-11,PEELER,295732,30
2023-11,PEMBUKA KALENG/BOTOL,14900,1
2023-11,PEMISAH TELUR,13626,7
2023-11,PENTOL PANCI,36000,8
2023-11,PERANGKAP NYAMUK,299999,1
2023-11,PERASAN,443583,10
2023-11,PERLENGKAPAN ULTAH,2694860,1420
2023-11,PEWANGI,1007591,62
2023-11,PINSET,59697,17
2023-11,PIPET,88296,14
2023-11,PIRING,13193775.4,1772
2023-11,PISAU,3143120,215
2023-11,POMPA,1106733,25
2023-11,POT,4905666,548
2023-11,PRASMANAN,806300,2
2023-11,PRESTO,766200,2
2023-11,RAK,16546718,204
2023-11,RAKET NYAMUK,1337580,23
2023-11,RANTANG,3958526,119
2023-11,REGULATOR,3777319,45
2023-11,REMOTE TV JOKER,22275,1
2023-11,RICE COOKER,27466644,93
2023-11,RING A MOP,3841101,58
2023-11,SAKLAR,170254,14
2023-11,SAPU,14322013,379
2023-11,SARINGAN,5143499,287
2023-11,SARUNG TANGAN,477635,61
2023-11,SEALER,207000,1
2023-11,SEMPROTAN,295980,17
2023-11,SENDOK,11272900.5,791
2023-11,SENTER,2374500,41
2023-11,SEROKAN,2286271,113
2023-11,SETRIKA,5491085,31
2023-11,SHAKER,289699,3
2023-11,SIKAT,4441369,304
2023-11,SIKAT BAJU,234791,29
2023-11,SISIR,908639,135
2023-11,SKIMMER,9750,1
2023-11,SKINCARE,1438819,86
2023-11,SLASIBAN,1073153,118
2023-11,SODET / SENDOK GORENG,1505038,81
2023-11,SORONG AIR,682660,21
2023-11,SPATULA,59578,3
2023-11,SPONS,440552,63
2023-11,STATIONARY / ALAT TULIS,9787668.25,1604
2023-11,STIK LAMPU,236442,2
2023-11,STOP KONTAK,1289081,74
2023-11,SUMPIT,371274,49
2023-11,TAKARAN,355227,34
2023-11,TALAM,373385,15
2023-11,TAMPA,672824,77
2023-11,TAPLAK,319623,8
2023-11,TAS BEKAL,577598,27
2023-11,TATAKAN GELAS,184611,21
2023-11,TEKO,4032502,66
2023-11,TELENAN,1805250,81
2023-11,TEMPAT BUMBU,1683666,61
2023-11,TEMPAT MINYAK,663910,12
2023-11,TEMPAT SABUN,545430,29
2023-11,TEMPAT SAMBAL,902776,90
2023-11,TEMPAT SENDOK,1691787,91
2023-11,TEMPAT TELUR,185104,11
2023-11,TEMPAT TISSUE,1257015,44
2023-11,TEMPAT TUSUK GIGI,58788,9
2023-11,TERMOS,18644797,169
2023-11,THINWAL,913324,35
2023-11,TIMBAH,2085705,181
2023-11,TIMBANGAN,3650812,35
2023-11,TISSUE,502424,60
2023-11,TONG,7190587,128
2023-11,TOPLES,11140672.25,744
2023-11,TUDUNG SAJI,1581639,37
2023-11,TUSUK GIGI,283107.5,66
2023-11,TUSUK SATE,141750,10
2023-11,TUTUP GELAS,113451,51
2023-11,TUTUP WAJAN,204900,8
2023-11,UMUM,29924534.25,1146
2023-11,WAJAN,633050,6
2023-10,ACC / PITA / KARET,3391243,569
2023-10,AMPIA,359150,2
2023-10,ASBAK,936927,77
2023-10,AYAKAN,102087,8
2023-10,BABY BATHUB,1053334.8,24
2023-10,BAKUL,1057465,94
2023-10,BANGKU / KURSI,16389282,272
2023-10,BASKOM,12608046,919
2023-10,BATRE,2149353,196
2023-10,BINGKAI,502727,11
2023-10,BLENDER,8911571,53
2023-10,BOTOL,14778475.8,889
2023-10,BUNGA PLASTIK,81400,2
2023-10,BURNER,1113930,38
2023-10,CAKE PAN,1372550,9
2023-10,CANGKIR,2770638,424
2023-10,CELEMEK,237525,9
2023-10,CELENGAN,762600,59
2023-10,CENTONG NASI,383559,39
2023-10,CERET,3145885,41
2023-10,CERMIN,1589840,78
2023-10,CETAKAN,3901677,254
2023-10,CHOPER,2706786,23
2023-10,COBEK,793655,16
2023-10,CONTAINER,12202645,110
2023-10,CORONG,255144,49
2023-10,CUP,62250,4
2023-10,DISPENCER,7707850,44
2023-10,EMBER,2311690,79
2023-10,ESKAN,909796,37
2023-10,GALON,587400,12
2023-10,GANTUNGAN HOOK,549791,51
2023-10,GARPU,1507435,82
2023-10,GAS,1110550,52
2023-10,GAYUNG,2532478,279
2023-10,GELAS,13737332,1166
2023-10,GEMBOK,777437,47
2023-10,GILINGAN,21460,1
2023-10,GUNTING,1907152,195
2023-10,HAIR DRYER,198826,1
2023-10,HANGER,4269511,203
2023-10,JAM DINDING,2417049,48
2023-10,JEPITAN,1259769,87
2023-10,JUICER,368750,1
2023-10,KAIN LAP,1689461,179
2023-10,KALO,3116499.83,733
2023-10,KAPSTOCK / GANTUNGAN BAJU,1878728,96
2023-10,KEMOCENG,717509,22
2023-10,KERANJANG,5425528,250
2023-10,KERTAS NASI,86250,3
2023-10,KESET,5493983,209
2023-10,KIPAS,15015862,91
2023-10,KNOP KOMPOR,84250,8
2023-10,KOCOKAN,496872,35
2023-10,KOMPOR GAS,30334249,88
2023-10,KOTAK,9070497,556
2023-10,KOTAK GABUS,105195,69
2023-10,KUALI,10473817,125
2023-10,KUAS,310326,41
2023-10,KUKUSAN,4082557,42
2023-10,LAMPU,15997842.3,402
2023-10,LEMARI,12989780,29
2023-10,LIGHTER,51480,22
2023-10,LOYANG,1708413,64
2023-10,LUMPANG,505320,7
2023-10,MANGKOK,12284964,1204
2023-10,MANTEL,2116062,46
2023-10,MEJA,6173111,55
2023-10,MERCON,20000,4
2023-10,MIKA,497756,29
2023-10,MINUMAN,3546973,674
2023-10,MIXER,1265900,7
2023-10,MUG,6346615,325
2023-10,NAMPAN,2720585,126
2023-10,OBENG,133124,15
2023-10,PAN GORENG,6419589,49
2023-10,PANCI,13963946,157
2023-10,PANGGANGAN,1499603,45
2023-10,PAPERBAG,238760,27
2023-10,PARUTAN,840601,87
2023-10,PAYUNG,1786476,35
2023-10,PEELER,267008,18
2023-10,PEMBERSIH IKAN,29997,3
2023-10,PEMBUKA KALENG/BOTOL,68488,4
2023-10,PEMISAH TELUR,8042,3
2023-10,PENTOL PANCI,38926,9
2023-10,PERANGKAP NYAMUK,40992,1
2023-10,PERASAN,633648,18
2023-10,PERLENGKAPAN ULTAH,2633030,1141
2023-10,PEWANGI,1039483,72
2023-10,PINSET,65979,15
2023-10,PIPET,122442,17
2023-10,PIRING,12912400,1640
2023-10,PISAU,2778759,187
2023-10,POMPA,1557733.75,29
2023-10,POT,6443270,570
2023-10,PRASMANAN,1791040,5
2023-10,PRESTO,412500,1
2023-10,RAK,17727595.5,218
2023-10,RAKET NYAMUK,1581754,27
2023-10,RANTANG,3700045,90
2023-10,REGULATOR,5926478,61
2023-10,REMOTE TV JOKER,44550,2
2023-10,RICE COOKER,36877497,99
2023-10,RING A MOP,5076162.4,71
2023-10,SAKLAR,102000,17
2023-10,SAPU,13543178,373
2023-10,SARINGAN,5027286,274
2023-10,SARUNG TANGAN,406827,47
2023-10,SEMPROTAN,456214,25
2023-10,SENDOK,10522207.6,690
2023-10,SENTER,2196534,41
2023-10,SEROKAN,2511462,114
2023-10,SETRIKA,6548670,33
2023-10,SHAKER,355249,4
2023-10,SIKAT,6026965,355
2023-10,SIKAT BAJU,259675,34
2023-10,SISIR,1004082,151
2023-10,SKIMMER,248760,16
2023-10,SKINCARE,2571491,111
2023-10,SLASIBAN,815623.05,85
2023-10,SODET / SENDOK GORENG,1766862,89
2023-10,SORONG AIR,996949,32
2023-10,SPATULA,12606,1
2023-10,SPONS,583612,65
2023-10,STATIONARY / ALAT TULIS,9697089.2,1365
2023-10,STIK LAMPU,118221,1
2023-10,STOP KONTAK,1389225,70
2023-10,SUMPIT,228337,31
2023-10,TAKARAN,611739,51
2023-10,TALAM,257820,6
2023-10,TAMPA,480535,56
2023-10,TAPLAK,201499,6
2023-10,TAS BEKAL,397244,26
2023-10,TATAKAN GELAS,172029,20
2023-10,TEKO,4078444,91
2023-10,TELENAN,1979230,61
2023-10,TEMPAT BUMBU,1849814,58
2023-10,TEMPAT MINYAK,550828,11
2023-10,TEMPAT SABUN,447347,22
2023-10,TEMPAT SAMBAL,389047,62
2023-10,TEMPAT SENDOK,1582625,83
2023-10,TEMPAT TELUR,71180,4
2023-10,TEMPAT TISSUE,563305,35
2023-10,TEMPAT TUSUK GIGI,90532,8
2023-10,TERMOS,14580098,141
2023-10,THINWAL,1386815,45
2023-10,TIMBAH,2759423,254
2023-10,TIMBANGAN,5668508,39
2023-10,TISSUE,613265,74
2023-10,TONG,4323049,95
2023-10,TOPLES,10139847,550
2023-10,TUDUNG SAJI,1448592,60
2023-10,TUSUK GIGI,420284,86
2023-10,TUSUK SATE,133310,9
2023-10,TUTUP GELAS,178348,55
2023-10,TUTUP WAJAN,239850,10
2023-10,UMUM,30819437,1385
2023-09,ACC / PITA / KARET,3129882,394
2023-09,ASBAK,861880.5,69
2023-09,AYAKAN,53925,4
2023-09,BABY BATHUB,458562,12
2023-09,BABYLIST,742500,2
2023-09,BAKUL,1237801,82
2023-09,BANGKU / KURSI,15053364.6,251
2023-09,BASKOM,9858977.36,685
2023-09,BATRE,1466383,130
2023-09,BINGKAI,348840,6
2023-09,BLENDER,11447745,56
2023-09,BOTOL,13123569,676
2023-09,BURNER,960875,29
2023-09,CAKE PAN,1103900,8
2023-09,CANGKIR,2246033,403
2023-09,CELEMEK,239700,6
2023-09,CELENGAN,853776,64
2023-09,CENTONG NASI,210463,23
2023-09,CERET,3322114,46
2023-09,CERMIN,1122819,58
2023-09,CETAKAN,2413449,168
2023-09,CHOPER,2312610,17
2023-09,COBEK,1379045,26
2023-09,CONTAINER,9633450,77
2023-09,CORONG,84003,22
2023-09,CUP,85050,7
2023-09,DISPENCER,9350465,37
2023-09,EMBER,3190574,91
2023-09,ESKAN,808824,24
2023-09,GALON,126900,3
2023-09,GANTUNGAN HOOK,546206,42
2023-09,GARPU,975185,58
2023-09,GAS,926375,46
2023-09,GAYUNG,2225076,258
2023-09,GELAS,12523247,1273
2023-09,GEMBOK,986208,54
2023-09,GILINGAN,75250,1
2023-09,GUNTING,1607386,158
2023-09,HANGER,3491838,140
2023-09,JAM DINDING,2803480,55
2023-09,JEPITAN,1058837,76
2023-09,JUICER,830250,1
2023-09,KAIN LAP,2006013,239
2023-09,KALO,2374609.3,370
2023-09,KAPSTOCK / GANTUNGAN BAJU,1422823,77
2023-09,KEMOCENG,558245,20
2023-09,KERANJANG,5970545,256
2023-09,KESET,2460046,116
2023-09,KIPAS,18564712,95
2023-09,KNOP KOMPOR,93418,9
2023-09,KOCOKAN,483171,38
2023-09,KOMPOR GAS,15184669,49
2023-09,KOTAK,8205408.2,494
2023-09,KOTAK GABUS,214145,32
2023-09,KUALI,7771864,105
2023-09,KUAS,195888,35
2023-09,KUKUSAN,3747396.5,33
2023-09,LAMPU,8370409.6,206
2023-09,LEMARI,13997700,32
2023-09,LIGHTER,100620,43
2023-09,LOYANG,1841526,63
2023-09,LUMPANG,687685,6
2023-09,MAKANAN,7259,4
2023-09,MANGKOK,6215202,621
2023-09,MANTEL,2459068,52
2023-09,MEJA,2910410,37
2023-09,MERCON,20000,4
2023-09,MIKA,457728,57
2023-09,MINUMAN,3380912,624
2023-09,MIXER,277200,1
2023-09,MUG,7579175,309
2023-09,NAMPAN,1751837,92
2023-09,OBENG,143950,14
2023-09,PAN GORENG,6932564,54
2023-09,PANCI,13535154,159
2023-09,PANGGANGAN,856363,20
2023-09,PAPERBAG,148850,18
2023-09,PARUTAN,694081,68
2023-09,PAYUNG,2206958,43
2023-09,PEELER,224770,18
2023-09,PEMBUKA KALENG/BOTOL,15613,1
2023-09,PEMISAH TELUR,9438,4
2023-09,PENTOL PANCI,57491,14
2023-09,PERASAN,336010,16
2023-09,PERLENGKAPAN ULTAH,1891592,795
2023-09,PEWANGI,593953,49
2023-09,PINSET,37703,10
2023-09,PIPET,99367,7
2023-09,PIRING,10410832,1308
2023-09,PISAU,2590893.2,144
2023-09,POMPA,1559933,32
2023-09,POT,4309598,469
2023-09,PRASMANAN,5880990,5
2023-09,RAK,14804922,179
2023-09,RAKET NYAMUK,1161097,20
2023-09,RANTANG,4055500,82
2023-09,REGULATOR,5231262,62
2023-09,REMOTE TV JOKER,89100,4
2023-09,RICE COOKER,32261894,97
2023-09,RING A MOP,1737143,23
2023-09,SAKLAR,13000,3
2023-09,SAPU,13046538,359
2023-09,SARINGAN,4918350,274
2023-09,SARUNG TANGAN,321323,46
2023-09,SEMPROTAN,278733,15
2023-09,SENDOK,11512632.8,688
2023-09,SENTER,1744391,41
2023-09,SEROKAN,1917276,93
2023-09,SETRIKA,7093250,44
2023-09,SHAKER,128550,2
2023-09,SIKAT,6268881,370
2023-09,SIKAT BAJU,203921,27
2023-09,SISIR,1146448,128
2023-09,SKIMMER,9750,1
2023-09,SKINCARE,1011480.05,60
2023-09,SLASIBAN,803421.5,84
2023-09,SODET / SENDOK GORENG,1255905,62
2023-09,SORONG AIR,905803,30
2023-09,SPATULA,62189,3
2023-09,SPONS,393354,50
2023-09,STATIONARY / ALAT TULIS,8559694,1014
2023-09,STOP KONTAK,1656627,75
2023-09,SUMPIT,264997,33
2023-09,TAKARAN,390055,29
2023-09,TALAM,358241,11
2023-09,TAMPA,313358,34
2023-09,TAPLAK,223249,7
2023-09,TAS BEKAL,612402,29
2023-09,TATAKAN GELAS,76744,9
2023-09,TEKO,3219193,79
2023-09,TELENAN,1764650,69
2023-09,TEMPAT BUMBU,994160,36
2023-09,TEMPAT MINYAK,623592,11
2023-09,TEMPAT ROTI,173125,2
2023-09,TEMPAT SABUN,171205,14
2023-09,TEMPAT SAMBAL,377115,40
2023-09,TEMPAT SENDOK,1437081,76
2023-09,TEMPAT TELUR,181675,8
2023-09,TEMPAT TISSUE,862019,27
2023-09,TEMPAT TUSUK GIGI,13064,2
2023-09,TERMOS,16624187,152
2023-09,THINWAL,813464,30
2023-09,TIMBAH,2182815,176
2023-09,TIMBANGAN,3062848,33
2023-09,TISSUE,544766,78
2023-09,TONG,4539827,85
2023-09,TOPLES,6032934,336
2023-09,TUDUNG SAJI,2179645,57
2023-09,TUSUK GIGI,470697,75
2023-09,TUSUK SATE,42525,3
2023-09,TUTUP GELAS,117524,42
2023-09,TUTUP WAJAN,396075,12
2023-09,UMUM,26757361,1001
2023-09,WAJAN,69000,1
2023-08,ACC / PITA / KARET,3263088,451
2023-08,AMPIA,359150,2
2023-08,ASBAK,679554,69
2023-08,AYAKAN,84300,7
2023-08,BABY BATHUB,913572,20
2023-08,BABYLIST,371250,1
2023-08,BAKUL,1381516,117
2023-08,BANGKU / KURSI,15235534,270
2023-08,BASKOM,11562532.04,1222
2023-08,BATRE,1351936,122
2023-08,BINGKAI,490955,19
2023-08,BLENDER,13588989,69
2023-08,BOTOL,20522762,1083
2023-08,BUNGA PLASTIK,116148,3
2023-08,BURNER,952940,32
2023-08,CAKE PAN,1238400,10
2023-08,CANGKIR,2855143.08,456
2023-08,CELEMEK,165375,7
2023-08,CELENGAN,685699,60
2023-08,CENTONG NASI,206813,20
2023-08,CERET,4488607.72,89
2023-08,CERMIN,805520,37
2023-08,CETAKAN,3609541,247
2023-08,CHOPER,2641590,24
2023-08,COBEK,1400775,27
2023-08,CONTAINER,7196832,63
2023-08,CORONG,137924,28
2023-08,CUP,48600,4
2023-08,DISPENCER,6913040,39
2023-08,EMBER,3541464,96
2023-08,ESKAN,543584,24
2023-08,GALON,517200,10
2023-08,GANTUNGAN HOOK,469270,34
2023-08,GARPU,1190865,77
2023-08,GAS,1139675,54
2023-08,GAYUNG,2389267,276
2023-08,GELAS,11801330.44,1214
2023-08,GEMBOK,1086857,51
2023-08,GUNTING,2050215,220
2023-08,HAIR DRYER,137500,1
2023-08,HANGER,4084530,190
2023-08,JAM DINDING,2361261.5,46
2023-08,JEPITAN,1284042,87
2023-08,KAIN LAP,1750642,207
2023-08,KALO,3296624,552
2023-08,KAPSTOCK / GANTUNGAN BAJU,2350867,121
2023-08,KEMOCENG,639950,24
2023-08,KERANJANG,5592682.72,299
2023-08,KERTAS NASI,86250,3
2023-08,KESET,2469421,113
2023-08,KIPAS,17764726,103
2023-08,KNOP KOMPOR,50420,4
2023-08,KOCOKAN,525800,39
2023-08,KOMPOR GAS,14549551,58
2023-08,KOTAK,11173984,629
2023-08,KOTAK GABUS,39270,31
2023-08,KUALI,6514036,83
2023-08,KUAS,431192,45
2023-08,KUKUSAN,3662822,34
2023-08,LAMPU,11051835.05,262
2023-08,LEMARI,5593810,11
2023-08,LIGHTER,128700,55
2023-08,LOYANG,1494385,62
2023-08,LUMPANG,354960,3
2023-08,MAKANAN,464611,151
2023-08,MANGKOK,10066575.72,1065
2023-08,MANTEL,1784211,44
2023-08,MEJA,2807003,27
2023-08,MIKA,536252,76
2023-08,MINUMAN,3045829,529
2023-08,MIXER,1488212,12
2023-08,MUG,7272144,372
2023-08,NAMPAN,2481997,114
2023-08,OBENG,92468,9
2023-08,OVEN,962500,1
2023-08,PAN GORENG,5742361,46
2023-08,PANCI,12314915.5,132
2023-08,PANGGANGAN,2108801,41
2023-08,PAPERBAG,115130,14
2023-08,PARUTAN,901830,72
2023-08,PAYUNG,2369425,52
2023-08,PEELER,184114.6,17
2023-08,PEMBERSIH IKAN,19998,2
2023-08,PEMBUKA KALENG/BOTOL,74128,5
2023-08,PEMISAH TELUR,6980,5
2023-08,PENTOL PANCI,78982,20
2023-08,PERASAN,401022,19
2023-08,PERLENGKAPAN ULTAH,2627787,1535
2023-08,PEWANGI,1001098.3,58
2023-08,PINSET,94258,26
2023-08,PIPET,161567,19
2023-08,PIRING,11771688.72,1491
2023-08,PISAU,2973416,251
2023-08,POMPA,892126,18
2023-08,POT,3629358,294
2023-08,PRASMANAN,1080000,6
2023-08,RAK,18479505,191
2023-08,RAKET NYAMUK,1006287,16
2023-08,RANTANG,7010745,191
2023-08,REGULATOR,5116864,58
2023-08,REMOTE TV JOKER,22275,1
2023-08,RICE COOKER,31349352,96
2023-08,RING A MOP,3403422,50
2023-08,SAKLAR,48000,8
2023-08,SAPU,12789609,337
2023-08,SARINGAN,4433745,252
2023-08,SARUNG TANGAN,267113,41
2023-08,SEMPROTAN,356871,22
2023-08,SENDOK,11882742,854
2023-08,SENTER,1922472,39
2023-08,SEROKAN,1594189,88
2023-08,SETRIKA,6728730,47
2023-08,SHAKER,294099,4
2023-08,SIKAT,5036651,323
2023-08,SIKAT BAJU,272714,36
2023-08,SISIR,1246180,197
2023-08,SKIMMER,9750,1
2023-08,SKINCARE,1998785,111
2023-08,SLASIBAN,958432.75,116
2023-08,SODET / SENDOK GORENG,1274866,53
2023-08,SORONG AIR,745061,21
2023-08,SPATULA,23556,2
2023-08,SPONS,486222,70
2023-08,STATIONARY / ALAT TULIS,8391508.1,1212
2023-08,STIK LAMPU,118221,1
2023-08,STOP KONTAK,1365760.45,63
2023-08,SUMPIT,140768,21
2023-08,TAKARAN,327967,30
2023-08,TALAM,189581,9
2023-08,TAMPA,580879,50
2023-08,TAPLAK,258670,13
2023-08,TAS BEKAL,549842,19
2023-08,TATAKAN GELAS,202193,23
2023-08,TEKO,4505403,141
2023-08,TELENAN,1743102,66
2023-08,TEMPAT BUMBU,1153497,42
2023-08,TEMPAT MINYAK,834320,13
2023-08,TEMPAT SABUN,172497,14
2023-08,TEMPAT SAMBAL,493009,64
2023-08,TEMPAT SENDOK,1248627,58
2023-08,TEMPAT TELUR,79965,7
2023-08,TEMPAT TISSUE,738507,41
2023-08,TEMPAT TUSUK GIGI,9999,1
2023-08,TERMOS,17749541,176
2023-08,THINWAL,893738,31
2023-08,TIMBAH,3211319,282
2023-08,TIMBANGAN,3612439,34
2023-08,TISSUE,700229.6,69
2023-08,TONG,4000080,95
2023-08,TOPLES,12287601,869
2023-08,TUDUNG SAJI,1165339,46
2023-08,TUSUK GIGI,547835,78
2023-08,TUSUK SATE,56700,4
2023-08,TUTUP GELAS,151273,61
2023-08,TUTUP WAJAN,67900,2
2023-08,UMUM,32699279,1288
2023-08,VICENZA,34440,1
2023-07,ACC / PITA / KARET,1758288,297
2023-07,AMPIA,568400,3
2023-07,ASBAK,1042185,73
2023-07,AYAKAN,187940,12
2023-07,BABY BATHUB,494286,11
2023-07,BAKUL,925650,78
2023-07,BANGKU / KURSI,16923322,285
2023-07,BASKOM,10421537,833
2023-07,BATRE,1589685,139
2023-07,BINGKAI,365385,7
2023-07,BLENDER,13925375,59
2023-07,BOTOL,25913438,1013
2023-07,BUNGA PLASTIK,133900,3
2023-07,BURNER,887810,24
2023-07,CAKE PAN,1128050,10
2023-07,CANGKIR,4155782.4,581
2023-07,CELEMEK,364695,10
2023-07,CELENGAN,1012671,98
2023-07,CENTONG NASI,288713,39
2023-07,CERET,4287358,73
2023-07,CERMIN,1270705,50
2023-07,CETAKAN,3176663,241
2023-07,CHOPER,2099970,20
2023-07,COBEK,940430,22
2023-07,CONTAINER,8329080,77
2023-07,CORONG,168484,37
2023-07,CUP,59100,4
2023-07,DISPENCER,8206145,35
2023-07,EMBER,3024495,107
2023-07,ESKAN,924517,36
2023-07,GALON,595500,11
2023-07,GANTUNGAN HOOK,733452,66
2023-07,GARPU,1811950,110
2023-07,GAS,1018400,49
2023-07,GAYUNG,2696209,308
2023-07,GELAS,13014540,1594
2023-07,GEMBOK,1382047,69
2023-07,GUNTING,2471387,254
2023-07,HAIR DRYER,375800,3
2023-07,HANGER,4361514,218
2023-07,JAM DINDING,2474657,48
2023-07,JEPITAN,1615918,117
2023-07,JUICER,1765050,2
2023-07,KAIN LAP,1871152,224
2023-07,KALO,3152856,492
2023-07,KAPSTOCK / GANTUNGAN BAJU,2526061,136
2023-07,KEMOCENG,1069358,51
2023-07,KERANJANG,7328324.25,324
2023-07,KESET,4006471,156
2023-07,KIPAS,25186449.08,128
2023-07,KNOP KOMPOR,97995,11
2023-07,KOCOKAN,625541,38
2023-07,KOMPOR GAS,18362488,53
2023-07,KOTAK,15449366,781
2023-07,KOTAK GABUS,193946,136
2023-07,KUALI,10197638,142
2023-07,KUAS,309354,33
2023-07,KUKUSAN,1630330,21
2023-07,LAMPU,13708719.4,352
2023-07,LEMARI,5689200,13
2023-07,LIGHTER,63180,27
2023-07,LOYANG,1686273,66
2023-07,LUMPANG,214920,3
2023-07,MAKANAN,306826,249
2023-07,MANGKOK,7544728,712
2023-07,MANTEL,1119103,35
2023-07,MEJA,4670950,48
2023-07,MIKA,637646,50
2023-07,MINUMAN,4306584,719
2023-07,MIXER,1738850,5
2023-07,MUG,6542177,329
2023-07,NAMPAN,2391884,113
2023-07,OBENG,185656,18
2023-07,OVEN,387500,1
2023-07,PAN GORENG,7466844,57
2023-07,PANCI,17570883,186
2023-07,PANGGANGAN,1677585,52
2023-07,PAPERBAG,5625,1
2023-07,PARUTAN,988092,84
2023-07,PAYUNG,3948773,89
2023-07,PEELER,252242,24
2023-07,PEMBERSIH IKAN,29997,3
2023-07,PEMBUKA KALENG/BOTOL,52162,3
2023-07,PEMISAH TELUR,23064,11
2023-07,PENTOL PANCI,44213,10
2023-07,PERASAN,643790,25
2023-07,PERLENGKAPAN ULTAH,2515245,959
2023-07,PEWANGI,677348,67
2023-07,PINSET,138243,34
2023-07,PIPET,255046,28
2023-07,PIRING,12112202,1698
2023-07,PISAU,4616020,352
2023-07,POMPA,1300142,26
2023-07,POT,4058723,358
2023-07,PRASMANAN,1327060,3
2023-07,RAK,14699172.5,176
2023-07,RAKET NYAMUK,1274601,21
2023-07,RANTANG,6569133,154
2023-07,REGULATOR,5728260,61
2023-07,REMOTE TV JOKER,111375,5
2023-07,RICE COOKER,33498864,96
2023-07,RING A MOP,2871217,43
2023-07,SAKLAR,60000,10
2023-07,SAPU,16912517.1,508
