periode,kategori,total,qty
2024-04,TOPLES,82793439,3576
2024-04,TUDUNG SAJI,1656512,71
2024-04,TUSUK GIGI,553322,121
2024-04,TUSUK SATE,28350,2
2024-04,TUTUP GELAS,427437,103
2024-04,TUTUP WAJAN,433975,15
2024-04,UMUM,50698546,1527
2024-04,VICENZA,874125,2
2024-04,WAJAN,1020889,13
2024-03,ACC / PITA / KARET,2365148,399
2024-03,AMPIA,1425012,6
2024-03,ASBAK,1310375,102
2024-03,AYAKAN,251357,19
2024-03,BABY BATHUB,573223,14
2024-03,BAKUL,1365291,98
2024-03,BANGKU / KURSI,25775610.5,343
2024-03,BASKOM,11550875,724
2024-03,BATRE,3319255,311
2024-03,BINGKAI,404066,7
2024-03,BLENDER,17522790,71
2024-03,BOTOL,10980818,757
2024-03,BURNER,1140690,35
2024-03,CAKE PAN,963600,7
2024-03,CANGKIR,6101902,693
2024-03,CELEMEK,180300,8
2024-03,CELENGAN,730937,58
2024-03,CENTONG NASI,343766,35
2024-03,CERET,4903147,60
2024-03,CERMIN,1917461,88
2024-03,CETAKAN,9822732,747
2024-03,CHOPER,3187243,24
2024-03,CLING WRAP,361200,14
2024-03,COBEK,963345,20
2024-03,CONTAINER,11219646,88
2024-03,CORONG,245060,56
2024-03,CUP,861252,60
2024-03,DISPENCER,9358213,49
2024-03,EMBER,3211218,84
2024-03,ESKAN,2218189,64
2024-03,GALON,169000,3
2024-03,GANTUNGAN HOOK,610689,51
2024-03,GARPU,1659272,92
2024-03,GAS,888050,40
2024-03,GAYUNG,2674880,326
2024-03,GELAS,14942645.68,1640
2024-03,GEMBOK,949225,51
2024-03,GILINGAN,422784,13
2024-03,GUNTING,1865689,196
2024-03,HAIR DRYER,336326,2
2024-03,HANGER,5971011,218
2024-03,JAM DINDING,3472120,71
2024-03,JEPITAN,1906469,136
2024-03,JUICER,1789650,3
2024-03,KAIN LAP,2243248,251
2024-03,KALO,3184973.1,445
2024-03,KAPSTOCK / GANTUNGAN BAJU,2420103,112
2024-03,KEMOCENG,1227123,41
2024-03,KERANJANG,7729664,298
2024-03,KERTAS NASI,28750,1
2024-03,KESET,6707811,277
2024-03,KIPAS,33561445,166
2024-03,KNOP KOMPOR,218100,19
2024-03,KOCOKAN,810677,72
2024-03,KOMPOR GAS,26298352,71
2024-03,KOTAK,8331664,619
2024-03,KOTAK GABUS,58500,1
2024-03,KUALI,7336312,91
2024-03,KUAS,1598925,158
2024-03,KUKUSAN,5499054,45
2024-03,LAMPU,9679232,276
2024-03,LEMARI,13266141,32
2024-03,LIGHTER,197190,49
2024-03,LOYANG,3014158,103
2024-03,LUMPANG,472650,5
2024-03,MAKANAN,266800,2
2024-03,MANGKOK,9775482,1011
2024-03,MANTEL,279278,14
2024-03,MEJA,6626608,59
2024-03,MERCON,3865000,1252
2024-03,MIKA,530834,27
2024-03,MINUMAN,2796433,520
2024-03,MIXER,2309020,9
2024-03,MUG,7016712,258
2024-03,NAMPAN,4251399,245
2024-03,OBENG,67721,10
2024-03,OVEN,5865610,9
2024-03,PAN GORENG,9971786,86
2024-03,PANCI,15326788.5,157
2024-03,PANGGANGAN,3323220,47
2024-03,PAPERBAG,356563,53
2024-03,PARUTAN,1425346,111
2024-03,PAYUNG,1490097,22
2024-03,PEELER,198117,24
2024-03,PEMBUKA KALENG/BOTOL,179160,8
2024-03,PEMISAH TELUR,9772,7
2024-03,PENTOL PANCI,108000,24
2024-03,PERASAN,479014,24
2024-03,PERLENGKAPAN ULTAH,1337143,447
2024-03,PEWANGI,1927192,80
2024-03,PINSET,94257,24
2024-03,PIPET,497354,42
2024-03,PIRING,17804362.72,2121
2024-03,PISAU,3383723,217
2024-03,POMPA,1366225,27
2024-03,POT,4793427,508
2024-03,PRASMANAN,6726838,7
2024-03,PRESTO,1171550,3
2024-03,RAK,19045379,254
2024-03,RAKET NYAMUK,1350869,23
